"TrackNum2_primary","n"
"1601030",27
"1601033",23
"1601034",22
"1601035",7
"1601037",7
"1601038",22
"1601039",22
"1601043",28
"1601046",8
"1601047",29
"1601049",22
"1601050",29
"1601053",22
"1601054",22
"1601056",4
"1601057",10
"1601058",20
"1601059",10
"1601061",22
"1601065",9
"1601066",23
"1601067",9
"1601071",24
"1601074",8
"1601077",2
"1601079",25
"1601080",5
"1601083",22
"1601085",6
"1601086",21
"1601090",22
"1601091",23
"1601096",22
"1601105",26
"1601107",23
"1601110",29
"1601111",27
"1601113",23
"1601114",8
"1601115",7
"1601116",22
"1601117",3
"1601119",9
"1601120",22
"1601122",28
"1601123",27
"1601124",22
"1601125",24
"1601128",27
"1601130",22
"1601133",12
"1601135",23
"1601137",22
"1601138",22
"1601139",5
"1601140",23
"1601142",22
"1601143",9
"1601145",29
"1601147",29
"1601148",22
"1601149",28
"1601151",20
"1601153",19
"1601154",4
"1601155",6
"1601156",10
"1601157",22
"1601159",1
"1601160",4
"1601163",20
"1601164",22
"1601165",24
"1601166",25
"1601167",8
"1601171",31
"1601172",24
"1601175",3
"1601176",22
"1601178",2
"1601180",22
"1601183",22
"1601184",22
"1601187",28
"1601188",22
"1601190",22
"1601191",23
"1601193",23
"1601197",23
"1601200",8
"1601202",8
"1601203",23
"1601204",7
"1601205",22
"1601206",22
"1601210",20
"1601212",15
"1601213",21
"1601214",22
"1601215",8
"1601218",25
"1601219",27
"1601222",23
"1601226",23
"1601227",34
"1601228",22
"1601232",22
"1601234",22
"1601235",22
"1601238",23
"1601239",3
"1601240",5
"1601244",23
"1601249",23
"1601252",23
"1601253",6
"1601257",23
"1601258",20
"1601260",23
"1601263",23
"1601267",3
"1601268",8
"1601270",3
"1601271",27
"1601273",1
"1601276",10
"1601279",22
"1601283",8
"1601284",28
"1601287",25
"1601288",5
"1601290",9
"1601293",9
"1601294",8
"1601295",3
"1601299",9
"1601301",28
"1601304",28
"1601305",22
"1601307",20
"1601313",8
"1601316",21
"1601317",22
"1601326",22
"1601327",21
"1601328",9
"1601329",10
"1601331",10
"1601334",22
"1601336",23
"1601338",5
"1601340",24
"1601343",9
"1601344",4
"1601346",11
"1601347",3
"1601349",6
"1601350",5
"1601353",8
"1601354",2
"1601355",31
"1601356",3
"1601357",25
"1601359",7
"1601364",22
"1601366",23
"1601367",8
"1601371",3
"1601375",27
"1601378",23
"1601382",23
"1601383",22
"1601384",22
"1601385",23
"1601387",8
"1601388",23
"1601389",24
"1601391",21
"1601393",14
"1601396",8
"1601398",22
"1601401",8
"1601402",21
"1601403",3
"1601406",21
"1601409",28
"1601411",22
"1601416",1
"1601418",8
"1601420",22
"1601421",20
"1601424",23
"1601426",5
"1601428",2
"1601430",22
"1601431",2
"1601432",10
"1601434",27
"1601435",20
"1601436",9
"1601438",22
"1601439",22
"1601442",22
"1601444",3
"1601445",21
"1601447",8
"1601451",22
"1601454",22
"1601455",8
"1601458",22
"1601460",20
"1601466",22
"1601468",1
"1601470",8
"1601471",22
"1601473",28
"1601474",22
"1601475",22
"1601478",22
"1601479",22
"1601482",13
"1601483",22
"1601484",10
"1601486",21
"1601489",8
"1601494",29
"1601495",25
"1601496",22
"1601497",22
"1601499",22
"1601500",22
"1601504",26
"1601505",3
"1601507",23
"1601508",22
"1601510",25
"1601514",22
"1601515",1
"1601517",3
"1601518",22
"1601519",1
"1601520",3
"1601521",8
"1601522",22
"1601523",22
"1601525",22
"1601526",23
"1601533",22
"1601534",22
"1601535",23
"1601536",8
"1601538",36
"1601539",23
"1601540",23
"1601542",20
"1601544",3
"1601546",22
"1601548",8
"1601550",22
"1601551",8
"1601552",28
"1601555",23
"1601556",28
"1601557",22
"1601558",22
"1601559",22
"1601561",22
"1601564",27
"1601565",3
"1601567",23
"1601569",3
"1601570",3
"1601573",8
"1601574",8
"1601581",8
"1601582",22
"1601583",8
"1601585",22
"1601588",27
"1601589",8
"1601590",7
"1601591",22
"1601592",22
"1601593",10
"1601594",23
"1601595",23
"1601596",3
"1601598",22
"1601599",22
"1601600",3
"1601604",7
"1601605",23
"1601606",7
"1601607",8
"1601608",22
"1601611",3
"1601613",3
"1601614",27
"1601615",28
"1601616",5
"1601617",8
"1601618",21
"1601620",28
"1601621",22
"1601623",3
"1601625",3
"1601627",8
"1601633",22
"1601636",8
"1601637",9
"1601638",10
"1601640",5
"1601643",22
"1601644",22
"1601645",9
"1601646",6
"1601647",22
"1601648",22
"1601649",26
"1601652",22
"1601653",22
"1601654",22
"1601656",30
