"Long","n"
-110.8034771,1
-110.7991505,1
-110.798059,1
-110.7941931,1
-110.787004,1
-110.786117,1
-110.782124,1
-110.77745,1
-110.764909,1
-110.764038,1
-110.759472,1
-110.73711,1
-110.73355,1
-110.733222,1
-110.732222,1
-110.717894,1
-110.706,1
-110.705903,1
-110.701926,1
-110.6988416,1
-110.698841,1
-110.671547,1
-110.6675,1
-110.663959,1
-110.66255,1
-110.6344016,1
-110.62974,1
-110.62973,1
-110.604412,1
-110.604167,1
-110.60139,1
-110.594638,1
-110.592484,3
-110.588305,1
-110.579325,1
-110.5625,1
-110.558725,1
-110.55637,1
-110.552316,1
-110.545149,1
-110.543527,1
-110.516052,1
-110.51012,1
-110.501677,1
-110.50107,1
-110.495,1
-110.4782839,1
-110.4657,1
-110.460144,1
-110.4259,1
-110.400365,1
-110.38472,1
-110.383,1
-110.32125,1
-110.314319,2
-110.311367,1
-110.29452,1
-110.274026,1
-110.255431,1
-110.224,1
-110.21974,1
-110.198139,1
-110.170517,1
-110.166865,1
-110.16662,1
-110.156769,2
-110.144634,1
-110.12667,1
-110.11567,1
-110.1115,1
-110.105424,1
-110.098364,1
-110.082783,1
-110.0730377,1
-110.06412,1
-110.063003,1
-110.042262,1
-110.042,1
-110.035833,1
-110.03032,1
-110.00371,1
-110.00133,1
-109.993636,1
-109.972721,1
-109.9682863,1
-109.960947,1
-109.95082,1
-109.9432,1
-109.9287021,1
-109.889837,1
-109.88483,1
-109.88277,2
-109.870003,1
-109.864018,1
-109.85306,1
-109.84111,1
-109.819167,1
-109.815089,1
-109.8125,1
-109.811702,1
-109.809994,1
-109.80689,1
-109.80408,1
-109.8,1
-109.7976,1
-109.795556,1
-109.79176,1
-109.7862167,1
-109.774001,1
-109.765573,1
-109.764444,1
-109.764056,1
-109.762958,1
-109.761993,1
-109.76009,1
-109.75787,1
-109.7546,1
-109.746204,1
-109.722,1
-109.716765,1
-109.712583,1
-109.691848,1
-109.682402,1
-109.680598,2
-109.675138,2
-109.65498,1
-109.627133,1
-109.607267,1
-109.586964,1
-109.585044,1
-109.583056,1
-109.571667,1
-109.534663,1
-109.533691,1
-109.531401,1
-109.510833,1
-109.506483,1
-109.500758,1
-109.5,1
-109.496983,1
-109.4965,1
-109.495785,1
-109.495783,1
-109.49005,1
-109.49003,1
-109.47516,1
-109.460556,1
-109.455774,1
-109.454514,3
-109.450916,1
-109.4504669,1
-109.448857,1
-109.4488384,1
-109.446524,1
-109.444167,1
-109.442574,1
-109.441516,1
-109.436341,1
-109.428596,1
-109.425408,1
-109.4252634,1
-109.42345,1
-109.417358,3
-109.414353,1
-109.41425,1
-109.414166,1
-109.40876,2
-109.407596,1
-109.4067603,1
-109.405983,1
-109.394002,1
-109.3936627,1
-109.390397,1
-109.387429,1
-109.3867737,1
-109.38088,1
-109.3721738,1
-109.37137,1
-109.356734,1
-109.3509531,2
-109.347084,1
-109.346597,1
