"SampleID","n"
"B16121344-001",22
"B16121574-001",3
"B16121595-001",21
"B16121611-001",1
"B16121611-002",2
"B16121691-001",20
"B16121691-002",2
"B16121805-001",8
"B16121840-001",3
"B16121945-001",1
"B16121990-001",22
"B17010055-001",22
"B17010173-001",1
"B17010174-001",1
"B17010373-001",23
"B17010373-002",2
"B17010446-001",28
"B17010558-001",9
"B17010950-001",3
"B17010951-001",3
"B17010952-001",8
"B17010956-001",14
"B17011082-001",23
"B17011109-001",22
"B17011247-001",23
"B17011378-001",22
"B17011396-001",8
"B17011397-001",9
"B17011398-001",22
"B17011423-001",22
"B17011480-001",2
"B17011480-002",2
"B17011481-001",8
"B17011584-001",22
"B17011586-001",5
"B17011739-001",8
"B17011789-001",22
"B17011816-001",22
"B17011893-001",22
"B17020009-001",22
"B17020012-001",23
"B17020302-001",22
"B17020423-001",9
"B17020425-001",22
"B17020526-001",8
"B17020526-002",2
"B17020782-001",5
"B17020879-001",22
"B17021084-001",20
"B17021188-001",24
"B17021312-001",22
"B17021378-001",25
"B17021398-001",22
"B17021401-001",28
"B17021524-001",20
"B17021575-001",36
"B17021775-001",22
"B17021794-001",27
"B17021829-001",31
"B17021832-001",22
"B17021881-001",22
"B17030038-001",2
"B17030086-001",23
"B17030104-001",22
"B17030139-001",22
"B17030364-001",22
"B17030368-001",22
"B17030403-001",24
"B17030405-001",31
"B17030439-001",23
"B17030449-001",21
"B17030509-001",3
"B17030512-001",22
"B17030514-001",6
"B17030654-001",23
"B17030925-001",3
"B17030986-001",23
"B17031036-001",8
"B17031039-001",23
"B17031042-001",23
"B17031163-001",8
"B17031311-001",22
"B17031485-001",22
"B17031486-001",27
"B17031537-001",22
"B17031610-001",28
"B17031611-001",23
"B17031616-001",30
"B17031620-001",27
"B17031795-001",25
"B17031847-001",5
"B17032012-001",24
"B17032013-001",27
"B17032015-001",3
"B17032017-001",27
"B17032161-001",27
"B17032162-001",22
"B17032163-001",22
"B17032164-001",22
"B17032172-001",13
"B17032174-001",22
"B17032181-001",21
"B17032182-001",8
"B17032183-001",22
"B17032239-001",5
"B17032263-001",8
"B17032333-001",22
"B17032333-002",7
"B17040011-001",28
"B17040012-001",20
"B17040016-001",8
"B17040060-001",21
"B17040062-001",21
"B17040064-001",21
"B17040100-001",3
"B17040105-001",8
"B17040109-001",13
"B17040115-001",9
"B17040151-001",27
"B17040206-001",21
"B17040221-001",22
"B17040226-001",22
"B17040664-001",22
"B17040698-001",22
"B17040707-001",23
"B17040774-001",22
"B17040774-002",22
"B17040842-001",6
"B17040842-002",2
"B17040851-001",22
"B17040855-001",3
"B17040862-001",3
"B17040863-001",22
"B17040865-001",22
"B17041318-001",22
"B17041343-001",23
"B17041460-001",5
"B17041601-001",24
"B17041606-001",22
"B17041716-001",26
"B17041768-001",22
"B17041884-001",22
"B17041892-001",23
"B17041897-001",24
"B17041903-001",22
"B17041950-001",5
"B17041964-001",27
"B17041988-001",20
"B17042064-001",28
"B17042111-001",20
"B17050025-001",22
"B17050084-001",8
"B17050087-001",22
"B17050088-001",8
"B17050094-001",8
"B17050110-001",8
"B17050168-001",23
"B17050234-001",7
"B17050234-002",2
"B17050241-001",8
"B17050288-001",22
"B17050354-001",8
"B17050386-001",24
"B17050484-001",23
"B17050510-001",3
"B17050671-001",21
"B17050731-001",21
"B17050731-002",2
"B17050745-001",5
"B17050777-001",3
"B17050779-001",3
"B17050915-001",8
"B17050921-001",3
"B17050923-001",28
"B17050925-001",22
"B17051001-001",21
"B17051057-001",24
"B17051169-001",3
"B17051185-001",7
"B17051293-001",22
"B17051309-001",22
"B17051336-001",22
"B17051354-001",27
"B17051408-001",27
"B17051410-001",22
"B17051442-001",8
"B17051448-001",8
"B17051449-001",22
"B17051450-001",22
"B17051491-001",24
"B17051527-001",3
"B17051533-001",22
"B17051534-001",27
"B17051543-001",22
"B17051548-001",22
"B17051668-001",20
"B17051668-002",2
"B17051671-001",3
"B17051909-001",22
"B17051972-001",23
"B17051976-001",27
"B17051978-001",8
"B17051980-001",8
"B17051984-001",22
"B17051990-001",23
"B17052110-001",8
"B17052112-001",8
"B17052115-001",3
"B17052156-001",8
"B17052251-001",23
"B17052318-001",22
"B17052318-002",22
"B17052494-001",22
"B17052494-002",22
"B17052494-003",22
"B17052545-001",22
"B17052594-001",8
"B17052595-001",8
"B17052599-001",22
"B17060011-001",22
"B17060028-001",22
"B17060127-001",22
"B17060253-001",22
"B17060336-001",22
"B17060356-001",27
"B17060357-001",27
"B17060358-001",27
"B17060362-001",22
"B17060403-001",3
"B17060404-001",8
"B17060523-001",22
"B17060621-001",10
"B17060626-001",24
"B17060628-001",22
"B17060663-001",22
"B17060671-001",23
"B17060673-001",8
"B17060676-001",28
"B17060680-001",28
"B17060683-001",22
"B17060712-001",8
"B17060879-001",6
