"Lat","n"
45.678077,1
45.678152,1
45.678367,1
45.678375,3
45.6789,1
45.679933,1
45.680165,1
45.680737,1
45.68116,1
45.68392,1
45.68405,1
45.685133,1
45.685136,1
45.687503,1
45.6877,1
45.688399,1
45.68911,1
45.689941,1
45.691667,1
45.6928393,1
45.692859,1
45.6928719,1
45.693262,1
45.694167,1
45.6945,2
45.696146,1
45.696385,1
45.69683,1
45.6975,1
45.697691,1
45.697975,1
45.698611,1
45.69954,1
45.699902,2
45.700434,1
45.700712,1
45.7015,1
45.702334,1
45.703472,1
45.7043888,1
45.70447,2
45.704579,1
45.7049,1
45.704972,1
45.707032,3
45.707236,1
45.707288,2
45.70774,1
45.70822,1
45.708885,1
45.709327,1
45.709817,1
45.71,2
45.710364,1
45.711139,1
45.711209,1
45.711517,2
45.711556,1
45.711724,1
45.713812,1
45.71444444,1
45.71527,1
45.71572278,1
45.71666,1
45.716715,1
45.717102,1
45.7188963,1
45.720013,1
45.7200347,1
45.721022,1
45.72207,1
45.723017,1
45.724955,1
45.72539,1
45.725445,1
45.725447,2
45.72548,1
45.726608,1
45.72859,1
45.72878,1
45.728907,1
45.729533,1
45.7298,1
45.730865,1
45.732075,1
45.732093,1
45.73333,1
45.733333,1
45.733611,1
45.734074,1
45.734275,1
45.7345,1
45.735278,1
45.735306,1
45.7358113,3
45.7358115,1
45.73586,1
45.7364444,2
45.736549,1
45.736585,1
45.736667,1
45.737152,1
45.737397,4
45.737499,1
45.7375,1
45.738202,1
45.7385,1
45.739378,1
45.739722,1
45.739813,2
45.739863,1
45.74,1
45.7401,1
45.740182,1
45.740397,1
45.740456,1
45.74048,1
45.740925,1
45.741587,1
45.741642,1
45.742917,1
45.74305,1
45.743052,1
45.743329,1
45.743346,1
45.7434719,1
45.743675,1
45.743986,1
45.744076,1
45.744671,1
45.744832,1
45.7448714,1
45.745002,1
45.745205,1
45.745384,1
45.745506,1
45.7456,1
45.746047,1
45.746121,1
45.746461,1
45.746766,1
45.7468543,1
45.747341,1
45.7476,1
45.747778,2
45.7478036,2
45.74786,1
45.747867,1
45.748218,1
45.748262,2
45.748963,3
45.748969,1
45.749043,1
45.749062,1
45.749128,1
45.74975,1
45.749957,1
45.7503,1
45.7504,1
45.7507,1
45.750844,1
45.7509065,3
45.751195,1
45.7512101,1
45.751216,1
45.7512162,1
45.751858,1
45.752065,1
45.752592,2
45.753319,1
45.753808,1
45.75413,2
45.754666,1
45.755604,1
45.75562,1
45.755878,1
45.75593,1
45.7559583,1
45.756167,2
45.756666,1
45.75692,1
45.75715,1
45.757196,1
45.757293,1
45.758265,1
45.75897,1
45.759367,1
45.759901,1
45.760483,1
45.7613,1
45.76145,1
45.761861,1
45.7620783,1
45.762519,1
45.763941,1
45.7654157,1
45.7656017,1
45.765629,1
45.76611,2
45.766315,1
45.7665,1
45.767583,1
45.767666,1
45.769133,1
45.771311,1
45.771389,1
45.771754,1
45.771823,1
45.77255,1
45.772725,1
45.773505,1
45.774175,1
45.774249,1
